"geographic_area","county","gender","age","time_period","time_period_dates","year","admits","average_tcu_score","admits_w_reported_opioid_use","of_total_admits_w_opioid_use","admits_w_diagnosed_substance_abuse_problem","of_admits_w_diagnosed_substance_abuse","admits_w_opioid_use_in_past_12_months_before_admit_1","admits_w_opioid_use_in_past_12_months_before_admit_2","state_fips","county_fips","centroid","longitude","geocoded_column"
"State","Commonwealth","Male","50 to 55 years","2021 Q1","1/1/2021-3/31/2021","2021","79","5.5","34","43","63","79","20","25","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Northumberland","All","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","56","6","26","46.4","47","83.9","28","50","42","097","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Elk","Male","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","12","5.3","0","0","11","91","3","25","42","047","41.42819416","-78.6494751","POINT (-78.6494751 41.42819416)"
"State","Commonwealth","All","12 to 19 years","2016 Annual","1/1/2016-12/31/2016","2016","307","3.1","31","10.1","182","59.3","56","18.2","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Armstrong","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","12","7.4","7","58","12","100","5","41","42","005","40.81509526","-79.47316899","POINT (-79.47316899 40.81509526)"
"County","Pike","Male","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","4","6.3","3","75","4","100","2","50","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Susquehanna","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","3","7.7","3","100","3","100","2","66","42","115","41.8205686","-75.80250303","POINT (-75.80250303 41.8205686)"
"County","Schuylkill","Female","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","20","6.1","15","75","18","90","15","75","42","107","40.70751243","-76.22332385","POINT (-76.22332385 40.70751243)"
"State","Commonwealth","Male","30 to 34 years","2020 Q4","10/1/2020-12/31/2020","2020","172","5.5","87","50","148","86","63","36","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Sullivan","All","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","0","0","0","0","0","0","0","0","42","113","41.4480994","-76.5147922","POINT (-76.5147922 41.4480994)"
"County","Montour","All","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","1","7","0","0","1","100","0","0","42","093","41.02801824","-76.66470527","POINT (-76.66470527 41.02801824)"
"County","Sullivan","Female","All (0 to 99 years)","2021 Q1","1/1/2021-3/31/2021","2021","0","0","0","0","0","0","0","0","42","113","41.4480994","-76.5147922","POINT (-76.5147922 41.4480994)"
"County","Pike","Female","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","2","9","2","100","2","100","2","100","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Northumberland","Female","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","1","9","1","100","1","100","1","100","42","097","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Lawrence","All","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","11","6.2","5","45","11","100","6","54","42","073","40.99325035","-80.33754114","POINT (-80.33754114 40.99325035)"
"County","Lancaster","Male","All (0 to 99 years)","2018 Q2","4/1/2018-6/30/2018","2018","98","4.7","32","32.7","74","75.5","39","39.8","42","071","40.04590796","-76.25138768","POINT (-76.25138768 40.04590796)"
"County","Elk","Male","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","6","4.5","2","33.3","5","83.3","2","33.3","42","047","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Luzerne","All","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","55","6.1","23","41.8","47","85.5","24","43.6","42","079","41.17836439","-75.9919961","POINT (-75.9919961 41.17836439)"
"County","Elk","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","2","6","0","0","2","100","1","50","42","047","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Indiana","Male","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","17","5.1","6","35.3","14","82.4","8","47.1","42","063","40.65295497","-79.09333493","POINT (-79.09333493 40.65295497)"
"County","Berks","Male","All (0 to 99 years)","2017 Q1","1/1/2017-3/31/2017","2017","93","3.6","17","18.3","61","65.6","20","21.5","42","011","40.41939635","-75.93077327","POINT (-75.93077327 40.41939635)"
"State","Commonwealth","Female","40 to 44 years","2021 Q4","10/1/2021-12/31/2021","2021","21","4.9","6","28","14","66","9","42","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Union","Male","All (0 to 99 years)","2018 Annual","1/1/2018-12/31/2018","2018","30","3.9","6","20","19","63.3","6","20","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Montour","Male","All (0 to 99 years)","2017 Q1","1/1/2017-3/31/2017","2017","0","0","0","0","0","0","0","0","42","093","41.02801824","-76.66470527","POINT (-76.66470527 41.02801824)"
"County","Lancaster","Female","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","2","7","0","0","2","100","1","50","42","071","40.04590796","-76.25138768","POINT (-76.25138768 40.04590796)"
"County","Northumberland","Female","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","13","7","12","92.3","12","92.3","11","84.6","42","097","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Franklin","All","All (0 to 99 years)","2017 Q1","1/1/2017-3/31/2017","2017","47","4.4","20","42.6","32","68.1","23","48.9","42","055","39.92786197","-77.72398845","POINT (-77.72398845 39.92786197)"
"State","Commonwealth","Male","20 to 24 years","2020 Q4","10/1/2020-12/31/2020","2020","130","4.6","37","28","100","76","35","26","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Northampton","Female","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","5","7","1","20","5","100","3","60","42","095","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"County","Chester","All","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","61","4.9","17","27.9","49","80.3","22","36.1","42","029","39.97487056","-75.75626498","POINT (-75.75626498 39.97487056)"
"County","Clearfield","Male","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","112","5.1","22","19.6","94","83.9","37","33","42","033","41.000429","-78.47558343","POINT (-78.47558343 41.000429)"
"County","Lebanon","Female","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","3","4","0","0","2","66","1","33","42","075","40.367597","-76.46182575","POINT (-76.46182575 40.367597)"
"State","Commonwealth","All","50 to 55 years","2017 Annual","1/1/2017-12/31/2017","2017","600","4","87","14.5","394","65.7","130","21.7","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Montgomery","Female","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","9","5.7","3","33","8","88","5","55","42","091","40.20989874","-75.37252001","POINT (-75.37252001 40.20989874)"
"County","McKean","Female","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","6","5.2","0","0","5","83.3","1","16.7","42","083","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"County","Beaver","Female","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","0","0","0","0","0","0","0","0","42","007","40.68349245","-80.35107356","POINT (-80.35107356 40.68349245)"
"County","Cameron","All","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","0","0","0","0","0","0","0","0","42","023","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"State","Commonwealth","Female","All (0 to 99 years)","2021 Q3","7/1/2021-9/30/2021","2021","171","6.1","47","27","144","84","90","52","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Crawford","Female","All (0 to 99 years)","2017 Q1","1/1/2017-3/31/2017","2017","0","0","0","0","0","0","0","0","42","039","41.68546907","-80.11321083","POINT (-80.11321083 41.68546907)"
"County","Fulton","Male","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","1","6","0","0","1","100","0","0","42","057","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Lehigh","Female","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","8","3.4","3","37.5","6","75","2","25","42","077","40.61464794","-75.60099481","POINT (-75.60099481 40.61464794)"
"County","Wayne","Female","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","1","7","0","0","1","100","1","100","42","127","41.64969805","-75.30515289","POINT (-75.30515289 41.64969805)"
"County","Huntingdon","Male","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","22","5.6","9","40","19","86","8","36","42","061","40.416105","-77.9827652","POINT (-77.9827652 40.416105)"
"County","Perry","Male","All (0 to 99 years)","2018 Q1","1/1/2018-3/31/2018","2018","4","5.3","1","25","3","75","1","25","42","099","40.40415317","-77.25907385","POINT (-77.25907385 40.40415317)"
"County","Montour","All","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","2","0","0","0","0","0","0","0","42","093","41.02801824","-76.66470527","POINT (-76.66470527 41.02801824)"
"County","Sullivan","Female","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","0","0","0","0","0","0","0","0","42","113","41.4480994","-76.5147922","POINT (-76.5147922 41.4480994)"
"County","Schuylkill","Male","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","144","4.9","43","29.9","113","78.5","58","40.3","42","107","40.70751243","-76.22332385","POINT (-76.22332385 40.70751243)"
"County","Warren","All","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","7","5.4","4","57","6","85","2","28","42","123","41.81675237","-79.27858158","POINT (-79.27858158 41.81675237)"
"County","Delaware","Female","All (0 to 99 years)","2022 Q2","4/1/2022-6/30/2022","2022","8","5.9","0","0","6","75","2","25","42","045","39.91657867","-75.40628052","POINT (-75.40628052 39.91657867)"
"State","Commonwealth","Female","12 to 19 years","2022 Q3","7/1/2022-9/30/2022","2022","0","0","0","0","0","0","0","0","42","000","39.346129)","-75.16775513",
"County","McKean","All","All (0 to 99 years)","2019 Q1","1/1/2019-3/31/2019","2019","22","5.5","5","22.7","21","95.5","7","31.8","42","083","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"County","Cambria","All","All (0 to 99 years)","2022 Q2","4/1/2022-6/30/2022","2022","18","6.4","10","55","16","88","12","66","42","021","40.49127491","-78.71894073","POINT (-78.71894073 40.49127491)"
"County","Washington","All","All (0 to 99 years)","2020 Q2","4/1/2020-6/30/2020","2020","8","5.9","3","37","8","100","3","37","42","125","40.19109663","-80.25180083","POINT (-80.25180083 40.19109663)"
"County","Centre","Male","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","9","3.8","0","0","6","66.7","1","11.1","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","McKean","Female","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","7","3.4","3","42.9","3","42.9","2","28.6","42","083","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"County","Armstrong","Male","All (0 to 99 years)","2020 Q2","4/1/2020-6/30/2020","2020","4","7.8","3","75","4","100","0","0","42","005","40.81509526","-79.47316899","POINT (-79.47316899 40.81509526)"
"County","Adams","Female","All (0 to 99 years)","2017 Q4","10/1/2017-12/31/2017","2017","1","9","1","100","1","100","1","100","42","001","39.87209565","-77.22224271","POINT (-77.22224271 39.87209565)"
"State","Commonwealth","All","50 to 55 years","2017 Q2","4/1/2017-6/30/2017","2017","161","3.8","27","16.8","100","62.1","32","19.9","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Fulton","All","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","11","5.5","2","18.2","10","90.9","3","27.3","42","057","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Mifflin","Male","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","9","5.9","2","22.2","8","88.9","4","44.4","42","087","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Mifflin","Male","All (0 to 99 years)","2022 Q1","1/1/2022-3/31/2022","2022","1","0","0","0","0","0","0","0","42","087","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","York","All","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","88","4.2","20","22.7","62","70.5","20","22.7","42","133","39.92192531","-76.72576052","POINT (-76.72576052 39.92192531)"
"County","Luzerne","Male","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","42","4.5","13","31","31","73.8","20","47.6","42","079","41.17836439","-75.9919961","POINT (-75.9919961 41.17836439)"
"County","Lycoming","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","18","5.1","7","38","14","77","6","33","42","081","41.34459792","-77.06942457","POINT (-77.06942457 41.34459792)"
"County","Monroe","Female","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","17","6.4","5","29","15","88","11","64","42","089","41.06091787","-75.34083557","POINT (-75.34083557 41.06091787)"
"County","Westmoreland","Male","All (0 to 99 years)","2019 Q4","10/1/2019-12/31/2019","2019","19","4.8","4","21.1","15","78.9","5","26.3","42","129","40.310315","-79.47134118","POINT (-79.47134118 40.310315)"
"County","Lehigh","Male","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","50","3.9","12","24","32","64","15","30","42","077","40.61464794","-75.60099481","POINT (-75.60099481 40.61464794)"
"County","Monroe","Female","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","23","5.9","13","56.5","20","87","13","56.5","42","089","41.06091787","-75.34083603","POINT (-75.34083603 41.06091787)"
"County","Cumberland","Male","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","9","4.4","1","11.1","9","100","1","11.1","42","041","40.16759839","-77.26866271","POINT (-77.26866271 40.16759839)"
"State","Commonwealth","Male","35 to 39 years","2018 Q1","1/1/2018-3/31/2018","2018","272","4.5","81","29.8","193","71","104","38.2","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Northampton","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","17","3","6","35","9","52","1","5","42","095","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"County","Centre","Male","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","13","4.9","2","15.4","10","76.9","1","7.7","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"State","Commonwealth","All","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","2505","4.1","671","26.8","1715","68.5","793","31.7","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Lycoming","Female","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","33","7.6","20","60.6","33","100","20","60.6","42","081","41.34459792","-77.06942457","POINT (-77.06942457 41.34459792)"
"County","Pike","Female","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","0","0","0","0","0","0","0","0","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Beaver","All","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","20","4.2","6","30","13","65","8","40","42","007","40.68349245","-80.35107356","POINT (-80.35107356 40.68349245)"
"County","Tioga","All","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","12","5.8","5","41.7","10","83.3","5","41.7","42","117","41.77333834","-77.25788076","POINT (-77.25788076 41.77333834)"
"County","Centre","All","All (0 to 99 years)","2019 Q4","10/1/2019-12/31/2019","2019","13","5.7","1","7.7","12","92.3","1","7.7","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Crawford","Female","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","2","8","1","50","2","100","2","100","42","039","41.68546907","-80.11321083","POINT (-80.11321083 41.68546907)"
"State","Commonwealth","Male","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","1881","4.5","390","20.7","1423","75.7","537","28.5","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Fayette","All","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","54","4","23","42.6","34","63","21","38.9","42","051","39.9194478","-79.65189635","POINT (-79.65189635 39.9194478)"
"County","Centre","Male","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","37","3.5","3","8.1","23","62.2","4","10.8","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Perry","Female","All (0 to 99 years)","2019 Q1","1/1/2019-3/31/2019","2019","0","0","0","0","0","0","0","0","42","099","40.40415317","-77.25907385","POINT (-77.25907385 40.40415317)"
"County","York","All","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","114","4.9","45","39","86","75","37","32","42","133","39.92192531","-76.72576141","POINT (-76.72576141 39.92192531)"
"County","Lackawanna","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","41","6.2","23","56","36","87","14","34","42","069","41.43910064","-75.61218345","POINT (-75.61218345 41.43910064)"
"County","Mifflin","All","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","12","5.8","7","58.3","11","91.7","7","58.3","42","087","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Northampton","Female","All (0 to 99 years)","2021 Q3","7/1/2021-9/30/2021","2021","5","5.8","1","20","4","80","2","40","42","095","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"County","Schuylkill","Male","All (0 to 99 years)","2018 Annual","1/1/2018-12/31/2018","2018","158","5.3","53","33.5","128","81","58","36.7","42","107","40.70751243","-76.22332385","POINT (-76.22332385 40.70751243)"
"County","Fulton","All","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","6","6.8","2","33","6","100","0","0","42","057","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Mifflin","All","All (0 to 99 years)","2022 Q3","7/1/2022-9/30/2022","2022","8","5","1","12","5","62","2","25","42","087","40.61274928","-77.62003326","POINT (-77.62003326 40.61274928)"
"County","Allegheny","Female","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","32","4.7","9","28.1","21","65.6","13","40.6","42","003","40.46735543","-79.98619843","POINT (-79.98619843 40.46735543)"
"County","Lawrence","Male","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","23","4.5","10","43","19","82","7","30","42","073","40.99325035","-80.33753967","POINT (-80.33753967 40.99325035)"
"County","Crawford","All","All (0 to 99 years)","2018 Q1","1/1/2018-3/31/2018","2018","32","5.5","11","34.4","28","87.5","14","43.8","42","039","41.68546907","-80.11321083","POINT (-80.11321083 41.68546907)"
"County","Lancaster","Female","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","6","8.3","2","33","6","100","4","66","42","071","40.04590796","-76.25138768","POINT (-76.25138768 40.04590796)"
"County","Greene","All","All (0 to 99 years)","2016 Q1","1/1/2016-3/31/2016","2016","10","5","4","40","8","80","2","20","42","059","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Union","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","2","5","1","50","2","100","0","0","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Venango","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","20","7.2","16","80","17","85","14","70","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Philadelphia","Female","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","2","3.5","1","50","1","50","1","50","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"County","Allegheny","Female","All (0 to 99 years)","Annual","1/1/2021-12/31/2021","2021","8","5.5","3","37","6","75","2","25","42","003","40.46735543","-79.98619843","POINT (-79.98619843 40.46735543)"
"County","Franklin","All","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","44","5.2","14","31.8","38","86.4","22","50","42","055","39.92786197","-77.72398845","POINT (-77.72398845 39.92786197)"
"State","Commonwealth","Male","All (0 to 99 years)","2020 Q2","4/1/2020-6/30/2020","2020","486","5.8","274","56","419","86","202","41","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","25 to 29 years","2017 Annual","1/1/2017-12/31/2017","2017","2129","4.4","690","32.4","1551","72.9","775","36.4","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Monroe","Female","All (0 to 99 years)","2019 Q1","1/1/2019-3/31/2019","2019","0","0","0","0","0","0","0","0","42","089","41.06091787","-75.34083603","POINT (-75.34083603 41.06091787)"
"State","Commonwealth","Female","50 to 55 years","2020 Q1","1/1/2020-3/31/2020","2020","17","4.3","3","17","11","64","4","23","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","20 to 24 years","2019 Q1","1/1/2019-3/31/2019","2019","36","5","18","50","27","75","19","52.8","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Wayne","Male","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","7","7","3","42","7","100","5","71","42","127","41.64969805","-75.3051535","POINT (-75.3051535 41.64969805)"
"County","Lehigh","Male","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","72","3.1","12","16.7","41","56.9","13","18.1","42","077","40.61464794","-75.60099481","POINT (-75.60099481 40.61464794)"
"County","Mercer","Female","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","11","6.8","6","54.5","10","90.9","8","72.7","42","085","41.30237777","-80.26009411","POINT (-80.26009411 41.30237777)"
"County","Mifflin","Male","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","14","5.7","1","7.1","13","92.9","3","21.4","42","087","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Lackawanna","Male","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","42","5.3","12","28.6","33","78.6","15","35.7","42","069","41.43910064","-75.61218345","POINT (-75.61218345 41.43910064)"
"County","Bucks","Female","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","6","6","3","50","5","83.3","4","66.7","42","017","40.33501133","-75.11291241","POINT (-75.11291241 40.33501133)"
"County","Northumberland","Female","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","5","3.8","3","60","3","60","4","80","42","097","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"State","Commonwealth","All","40 to 44 years","2019 Q4","10/1/2019-12/31/2019","2019","223","5.3","67","30","182","81.6","84","37.7","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Fulton","Male","All (0 to 99 years)","2018 Annual","1/1/2018-12/31/2018","2018","21","4.1","5","23.8","13","61.9","6","28.6","42","057","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Venango","All","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","21","5.9","8","38","18","85","7","33","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Crawford","Female","All (0 to 99 years)","2021 Q3","7/1/2021-9/30/2021","2021","2","4.5","0","0","1","50","2","100","42","039","41.68546907","-80.11321083","POINT (-80.11321083 41.68546907)"
"County","Erie","Male","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","199","4.1","34","17.1","147","73.9","41","20.6","42","049","41.99413787","-80.0407591","POINT (-80.0407591 41.99413787)"
"County","Philadelphia","Male","All (0 to 99 years)","Annual","1/1/2021-12/31/2021","2021","471","4.8","224","47","347","73","158","33","42","101","40.00444354","-75.1402359","POINT (-75.1402359 40.00444354)"
"State","Commonwealth","Female","40 to 44 years","2019 Q2","4/1/2019-9/30/2019","2019","37","6.2","15","40.5","30","81.1","19","51.4","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","35 to 39 years","2019 Q3","7/1/2019-9/30/2019","2019","51","7.1","31","60.8","46","90.2","34","66.7","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Fulton","Female","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","0","0","0","0","0","0","0","0","42","057","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Lawrence","Male","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","11","1.6","1","9.1","4","36.4","1","9.1","42","073","40.99325035","-80.33754114","POINT (-80.33754114 40.99325035)"
"County","Adams","All","All (0 to 99 years)","2022 Q1","1/1/2022-3/31/2022","2022","10","5.9","2","20","8","80","5","50","42","001","39.87209565","-77.22224271","POINT (-77.22224271 39.87209565)"
"County","Berks","Male","All (0 to 99 years)","2022 Q2","4/1/2022-6/30/2022","2022","77","4.5","28","36","58","75","20","25","42","011","40.41939635","-75.93077087","POINT (-75.93077087 40.41939635)"
"County","Clinton","Female","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","2","8","2","100","2","100","2","100","42","035","41.23286274","-77.6428376","POINT (-77.6428376 41.23286274)"
"County","Luzerne","Female","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","8","3.4","5","62.5","5","62.5","2","25","42","079","41.17836439","-75.9919961","POINT (-75.9919961 41.17836439)"
"County","Armstrong","Female","All (0 to 99 years)","2021 Q3","7/1/2021-9/30/2021","2021","2","7","0","0","2","100","2","100","42","005","40.81509526","-79.47316899","POINT (-79.47316899 40.81509526)"
"County","Philadelphia","All","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","273","3.8","39","14.3","176","64.5","58","21.2","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"State","Commonwealth","Male","12 to 19 years","2017 Q4","10/1/2017-12/31/2017","2017","74","2.7","8","10.8","37","50","15","20.3","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Bedford","Female","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","11","3.3","5","45.5","5","45.5","5","45.5","42","009","40.00737536","-78.49116474","POINT (-78.49116474 40.00737536)"
"County","Carbon","Male","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","58","5","20","34.5","45","77.6","24","41.4","42","025","40.91936701","-75.71107039","POINT (-75.71107039 40.91936701)"
"County","Centre","Female","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","2","4.5","0","0","1","50","0","0","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Beaver","Male","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","16","4.1","5","31.3","11","68.8","6","37.5","42","007","40.68349245","-80.35107356","POINT (-80.35107356 40.68349245)"
"County","Washington","All","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","94","5.3","36","38","75","79","26","27","42","125","40.19109663","-80.25180054","POINT (-80.25180054 40.19109663)"
"County","Clarion","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","2","9","2","100","2","100","1","50","42","031","41.19279129","-79.42483608","POINT (-79.42483608 41.19279129)"
"County","Venango","All","All (0 to 99 years)","2017 Q1","1/1/2017-3/31/2017","2017","10","5.3","3","30","9","90","4","40","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Fayette","All","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","58","5.1","28","48.3","45","77.6","29","50","42","051","39.9194478","-79.65189635","POINT (-79.65189635 39.9194478)"
